symbol,side,quantity,price,timestamp
AAPL,buy,1.0000,270.0700,2025-11-10T14:30:00+00:00
AAPL,sell,1.0000,270.1800,2025-11-10T14:30:00+00:00
AAPL,buy,1.0000,270.4100,2025-11-10T14:31:00+00:00
AAPL,sell,1.0000,270.5100,2025-11-10T14:31:00+00:00
AAPL,buy,1.0000,271.0100,2025-11-10T14:32:00+00:00
AAPL,sell,1.0000,271.1200,2025-11-10T14:32:00+00:00
AAPL,buy,1.0000,271.4800,2025-11-10T14:33:00+00:00
AAPL,sell,1.0000,271.5900,2025-11-10T14:33:00+00:00
AAPL,buy,1.0000,271.5000,2025-11-10T14:34:00+00:00
AAPL,sell,1.0000,271.6000,2025-11-10T14:34:00+00:00
AAPL,buy,1.0000,272.0600,2025-11-10T14:35:00+00:00
AAPL,sell,1.0000,272.1600,2025-11-10T14:35:00+00:00
AAPL,buy,1.0000,271.9900,2025-11-10T14:36:00+00:00
AAPL,sell,1.0000,272.0900,2025-11-10T14:36:00+00:00
AAPL,buy,1.0000,271.7100,2025-11-10T14:37:00+00:00
AAPL,sell,1.0000,271.8100,2025-11-10T14:37:00+00:00
AAPL,buy,1.0000,271.4100,2025-11-10T14:38:00+00:00
AAPL,sell,1.0000,271.5100,2025-11-10T14:38:00+00:00
AAPL,buy,1.0000,271.7100,2025-11-10T14:39:00+00:00
AAPL,sell,1.0000,271.8100,2025-11-10T14:39:00+00:00
AAPL,buy,1.0000,271.3700,2025-11-10T14:40:00+00:00
AAPL,sell,1.0000,271.4800,2025-11-10T14:40:00+00:00
AAPL,buy,1.0000,271.4300,2025-11-10T14:41:00+00:00
AAPL,sell,1.0000,271.5300,2025-11-10T14:41:00+00:00
AAPL,buy,1.0000,271.2900,2025-11-10T14:42:00+00:00
AAPL,sell,1.0000,271.3900,2025-11-10T14:42:00+00:00
AAPL,buy,1.0000,271.7400,2025-11-10T14:43:00+00:00
AAPL,sell,1.0000,271.8400,2025-11-10T14:43:00+00:00
AAPL,buy,1.0000,272.1400,2025-11-10T14:44:00+00:00
AAPL,sell,1.0000,272.2400,2025-11-10T14:44:00+00:00
AAPL,buy,1.0000,272.5600,2025-11-10T14:45:00+00:00
AAPL,sell,1.0000,272.6600,2025-11-10T14:45:00+00:00
AAPL,buy,1.0000,272.6200,2025-11-10T14:46:00+00:00
AAPL,sell,1.0000,272.7200,2025-11-10T14:46:00+00:00
AAPL,buy,1.0000,272.6800,2025-11-10T14:47:00+00:00
AAPL,sell,1.0000,272.7800,2025-11-10T14:47:00+00:00
AAPL,buy,1.0000,272.5100,2025-11-10T14:48:00+00:00
AAPL,sell,1.0000,272.6100,2025-11-10T14:48:00+00:00
AAPL,buy,1.0000,272.7500,2025-11-10T14:49:00+00:00
AAPL,sell,1.0000,272.8500,2025-11-10T14:49:00+00:00
AAPL,buy,1.0000,272.8000,2025-11-10T14:49:00+00:00
AAPL,buy,1.0000,272.8700,2025-11-10T14:50:00+00:00
AAPL,sell,1.0000,272.9800,2025-11-10T14:50:00+00:00
AAPL,buy,1.0000,273.3200,2025-11-10T14:51:00+00:00
AAPL,sell,1.0000,273.4200,2025-11-10T14:51:00+00:00
AAPL,buy,1.0000,273.4700,2025-11-10T14:52:00+00:00
AAPL,sell,1.0000,273.5700,2025-11-10T14:52:00+00:00
AAPL,buy,1.0000,273.4800,2025-11-10T14:53:00+00:00
AAPL,sell,1.0000,273.5800,2025-11-10T14:53:00+00:00
AAPL,buy,1.0000,273.5400,2025-11-10T14:54:00+00:00
AAPL,sell,1.0000,273.6400,2025-11-10T14:54:00+00:00
AAPL,buy,1.0000,273.0100,2025-11-10T14:55:00+00:00
AAPL,sell,1.0000,273.1100,2025-11-10T14:55:00+00:00
AAPL,buy,1.0000,272.8500,2025-11-10T14:56:00+00:00
AAPL,sell,1.0000,272.9500,2025-11-10T14:56:00+00:00
AAPL,buy,1.0000,272.8600,2025-11-10T14:57:00+00:00
AAPL,sell,1.0000,272.9600,2025-11-10T14:57:00+00:00
AAPL,buy,1.0000,273.0300,2025-11-10T14:58:00+00:00
AAPL,sell,1.0000,273.1400,2025-11-10T14:58:00+00:00
AAPL,buy,1.0000,273.2200,2025-11-10T14:59:00+00:00
AAPL,sell,1.0000,273.3300,2025-11-10T14:59:00+00:00
AAPL,buy,1.0000,272.8300,2025-11-10T15:00:00+00:00
AAPL,sell,1.0000,272.9300,2025-11-10T15:00:00+00:00
AAPL,buy,1.0000,272.9500,2025-11-10T15:01:00+00:00
AAPL,sell,1.0000,273.0500,2025-11-10T15:01:00+00:00
AAPL,buy,1.0000,272.9100,2025-11-10T15:02:00+00:00
AAPL,sell,1.0000,273.0200,2025-11-10T15:02:00+00:00
AAPL,buy,1.0000,272.4600,2025-11-10T15:03:00+00:00
AAPL,sell,1.0000,272.5700,2025-11-10T15:03:00+00:00
AAPL,buy,1.0000,272.4200,2025-11-10T15:04:00+00:00
AAPL,sell,1.0000,272.5200,2025-11-10T15:04:00+00:00
AAPL,sell,1.0000,272.4706,2025-11-10T15:04:00+00:00
AAPL,buy,1.0000,272.3900,2025-11-10T15:05:00+00:00
AAPL,sell,1.0000,272.4900,2025-11-10T15:05:00+00:00
AAPL,buy,1.0000,272.5100,2025-11-10T15:06:00+00:00
AAPL,sell,1.0000,272.6100,2025-11-10T15:06:00+00:00
AAPL,buy,1.0000,272.6500,2025-11-10T15:07:00+00:00
AAPL,sell,1.0000,272.7500,2025-11-10T15:07:00+00:00
AAPL,buy,1.0000,272.6400,2025-11-10T15:08:00+00:00
AAPL,sell,1.0000,272.7400,2025-11-10T15:08:00+00:00
AAPL,buy,1.0000,272.6000,2025-11-10T15:09:00+00:00
AAPL,sell,1.0000,272.7000,2025-11-10T15:09:00+00:00
AAPL,buy,1.0000,272.7800,2025-11-10T15:10:00+00:00
AAPL,sell,1.0000,272.8800,2025-11-10T15:10:00+00:00
AAPL,buy,1.0000,272.5100,2025-11-10T15:11:00+00:00
AAPL,sell,1.0000,272.6100,2025-11-10T15:11:00+00:00
AAPL,buy,1.0000,272.7200,2025-11-10T15:12:00+00:00
AAPL,sell,1.0000,272.8200,2025-11-10T15:12:00+00:00
AAPL,buy,1.0000,272.7100,2025-11-10T15:13:00+00:00
AAPL,sell,1.0000,272.8100,2025-11-10T15:13:00+00:00
AAPL,buy,1.0000,272.5400,2025-11-10T15:14:00+00:00
AAPL,sell,1.0000,272.6400,2025-11-10T15:14:00+00:00
AAPL,buy,1.0000,272.3100,2025-11-10T15:15:00+00:00
AAPL,sell,1.0000,272.4100,2025-11-10T15:15:00+00:00
AAPL,buy,1.0000,272.5100,2025-11-10T15:16:00+00:00
AAPL,sell,1.0000,272.6100,2025-11-10T15:16:00+00:00
AAPL,buy,1.0000,272.5900,2025-11-10T15:17:00+00:00
AAPL,sell,1.0000,272.6900,2025-11-10T15:17:00+00:00
AAPL,buy,1.0000,272.3700,2025-11-10T15:18:00+00:00
AAPL,sell,1.0000,272.4700,2025-11-10T15:18:00+00:00
AAPL,buy,1.0000,272.1800,2025-11-10T15:19:00+00:00
AAPL,sell,1.0000,272.2800,2025-11-10T15:19:00+00:00
AAPL,buy,1.0000,272.0900,2025-11-10T15:20:00+00:00
AAPL,sell,1.0000,272.1900,2025-11-10T15:20:00+00:00
AAPL,buy,1.0000,271.9800,2025-11-10T15:21:00+00:00
AAPL,sell,1.0000,272.0800,2025-11-10T15:21:00+00:00
AAPL,buy,1.0000,272.1400,2025-11-10T15:22:00+00:00
AAPL,sell,1.0000,272.2400,2025-11-10T15:22:00+00:00
AAPL,buy,1.0000,272.0500,2025-11-10T15:23:00+00:00
AAPL,sell,1.0000,272.1500,2025-11-10T15:23:00+00:00
AAPL,buy,1.0000,272.0600,2025-11-10T15:24:00+00:00
AAPL,sell,1.0000,272.1700,2025-11-10T15:24:00+00:00
AAPL,buy,1.0000,272.0100,2025-11-10T15:25:00+00:00
AAPL,sell,1.0000,272.1100,2025-11-10T15:25:00+00:00
AAPL,buy,1.0000,271.8300,2025-11-10T15:26:00+00:00
AAPL,sell,1.0000,271.9300,2025-11-10T15:26:00+00:00
AAPL,buy,1.0000,271.7100,2025-11-10T15:27:00+00:00
AAPL,sell,1.0000,271.8100,2025-11-10T15:27:00+00:00
AAPL,buy,1.0000,271.7400,2025-11-10T15:28:00+00:00
AAPL,sell,1.0000,271.8500,2025-11-10T15:28:00+00:00
AAPL,buy,1.0000,271.8100,2025-11-10T15:29:00+00:00
AAPL,sell,1.0000,271.9100,2025-11-10T15:29:00+00:00
AAPL,buy,1.0000,271.7500,2025-11-10T15:30:00+00:00
AAPL,sell,1.0000,271.8500,2025-11-10T15:30:00+00:00
AAPL,buy,1.0000,271.7900,2025-11-10T15:31:00+00:00
AAPL,sell,1.0000,271.8900,2025-11-10T15:31:00+00:00
AAPL,buy,1.0000,271.8700,2025-11-10T15:32:00+00:00
AAPL,sell,1.0000,271.9700,2025-11-10T15:32:00+00:00
AAPL,buy,1.0000,271.7500,2025-11-10T15:33:00+00:00
AAPL,sell,1.0000,271.8500,2025-11-10T15:33:00+00:00
AAPL,buy,1.0000,271.6900,2025-11-10T15:34:00+00:00
AAPL,sell,1.0000,271.7900,2025-11-10T15:34:00+00:00
AAPL,buy,1.0000,271.7400,2025-11-10T15:35:00+00:00
AAPL,sell,1.0000,271.8400,2025-11-10T15:35:00+00:00
AAPL,buy,1.0000,271.6400,2025-11-10T15:36:00+00:00
AAPL,sell,1.0000,271.7400,2025-11-10T15:36:00+00:00
AAPL,buy,1.0000,271.6400,2025-11-10T15:37:00+00:00
AAPL,sell,1.0000,271.7400,2025-11-10T15:37:00+00:00
AAPL,buy,1.0000,271.3200,2025-11-10T15:38:00+00:00
AAPL,sell,1.0000,271.4200,2025-11-10T15:38:00+00:00
AAPL,buy,1.0000,271.2100,2025-11-10T15:39:00+00:00
AAPL,sell,1.0000,271.3100,2025-11-10T15:39:00+00:00
AAPL,buy,1.0000,271.2900,2025-11-10T15:40:00+00:00
